"whichweights","mtry","min.node.size","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"random",2,2,0.606271317774018,0.128506404454072,0.528768022508615,0.297846497838276,0.177456484608361,0.318297233576126
"random",2,3,0.614393312965821,0.139881715943096,0.543584838513657,0.304293879024831,0.164847193507676,0.321255619705175
"random",2,4,0.59672790984645,0.119658019853225,0.520671437055752,0.294874566780464,0.175813952657769,0.313281867433484
"random",2,5,0.589499068533222,0.174740492522078,0.512421290901546,0.319576212453664,0.184061491434404,0.337900258787595
"random",2,6,0.585856159071575,0.126849420356961,0.512462405560172,0.277293486245242,0.168883512751676,0.29743619550729
"random",3,2,0.594816955412055,0.183761205242175,0.51477545385923,0.290297471658631,0.187059941367731,0.31038072699938
"random",3,3,0.599950942132299,0.130669555159896,0.520783624643187,0.310581465655821,0.168581842356075,0.33215563373964
"random",3,4,0.614563591610344,0.136503163631047,0.536687038565805,0.328484118530198,0.17040235156239,0.347069715613159
"random",3,5,0.592839642834018,0.191033109326779,0.518830115137185,0.27655128335182,0.196776487330682,0.297702045962987
"random",3,6,0.603440202151091,0.17565348195622,0.531412338433683,0.311014102720663,0.193667246849848,0.328030077197956
"random",4,2,0.598663335523036,0.148436924112327,0.516253247227184,0.270258917934596,0.159550712241644,0.290660872396471
"random",4,3,0.57462658334804,0.171789294697918,0.497169225037957,0.277498103050947,0.166886103870374,0.295689231221893
"random",4,4,0.599221243308973,0.133680014648115,0.519476789127509,0.316462150152432,0.16397713815548,0.337380766517372
"random",4,5,0.597104662229796,0.160626970152297,0.522342389961818,0.291035918254571,0.176311049368888,0.308403287111488
"random",4,6,0.635076366035307,0.218708847194733,0.570579322846228,0.348247386370912,0.197304688205672,0.367842298273386
"random",5,2,0.589513114294589,0.16621727208155,0.503421882374804,0.302825273828267,0.191565058422365,0.320113198010884
"random",5,3,0.634793640639392,0.140027490076487,0.560675680390415,0.266878273192651,0.141830781656689,0.288097423000202
"random",5,4,0.610902131916016,0.191786458204441,0.535266905511776,0.26063860352376,0.197889791189196,0.289557268871213
"random",5,5,0.623185319273897,0.157952370739595,0.544580281162684,0.310052327976596,0.167611090884812,0.331088039677904
"random",5,6,0.605767698193534,0.169124486516698,0.532252099482577,0.277289519690974,0.186989522005249,0.293653881266293
"random",6,2,0.605002545453608,0.227832671029945,0.531745491869057,0.301481228734907,0.216100175462019,0.319418973283888
"random",6,3,0.604617880815628,0.171243572657305,0.528110322058871,0.274886028947671,0.182181348670246,0.299252568457783
"random",6,4,0.60489450354799,0.12904747876132,0.525700876111979,0.310774177800435,0.172174661055781,0.332325516029307
"random",6,5,0.613723744896906,0.162765305173106,0.537580391821834,0.297710781949912,0.178950768327869,0.31516215217692
"random",6,6,0.580003815691587,0.180889767710141,0.500104249301042,0.313157685209967,0.18597078531273,0.332717879415209
"fixed",2,2,0.589415552377647,0.151508620790696,0.51450053069034,0.289750255187333,0.169118541227202,0.309994612433001
"fixed",2,3,0.581362411106563,0.199255322300055,0.508970219920837,0.322405382610023,0.178716249143302,0.339438540756986
"fixed",2,4,0.585570285401255,0.141473080072172,0.517244281186214,0.303338560975242,0.167184118517727,0.31967898995189
"fixed",2,5,0.575550025139176,0.165784912406762,0.501853081649627,0.304754670552452,0.166786490641464,0.321540071108984
"fixed",2,6,0.571663999163022,0.140603961394294,0.49775461507255,0.327726142326575,0.163352278032468,0.343853422145025
"fixed",3,2,0.587389988685876,0.167395718006877,0.509709843610503,0.312876588705541,0.167283981819953,0.336247507060763
"fixed",3,3,0.585814729129364,0.121182159609034,0.513040267546813,0.289735948428045,0.17171394475217,0.305905668460689
"fixed",3,4,0.584380357838319,0.188077151590254,0.508449723400288,0.307002489486392,0.179776727412895,0.324879340997561
"fixed",3,5,0.571649985430947,0.150863164393522,0.494461264836164,0.314909886673116,0.173034059373744,0.331416878933583
"fixed",3,6,0.577466590727391,0.178254876694996,0.504441753372826,0.289847893336744,0.173180166281536,0.306369248117413
"fixed",4,2,0.598072786753255,0.202984885352713,0.515415305263601,0.283455821972843,0.173053921114931,0.304351277510929
"fixed",4,3,0.588698639146892,0.179820676499735,0.50571165501058,0.299547915217183,0.176442541975606,0.320398027523881
"fixed",4,4,0.580456897251029,0.141386381911507,0.506330524074074,0.292129094242609,0.164106734749489,0.310053641769135
"fixed",4,5,0.57390684314204,0.147463178197517,0.501524571209707,0.278896134508894,0.169889060383618,0.296907353648716
"fixed",4,6,0.584575776354791,0.189224859115101,0.505486998335258,0.319751105681549,0.201250838467923,0.338970643653255
"fixed",5,2,0.596055470621386,0.180581966335368,0.516882925450493,0.293639069447826,0.179884146897712,0.315321675919586
"fixed",5,3,0.582301352225231,0.194326378853771,0.503631397579389,0.310136487647563,0.192988985113229,0.32836238591533
"fixed",5,4,0.577646218329055,0.149995694188744,0.499563612694128,0.29644196502097,0.162297549392388,0.312662273429673
"fixed",5,5,0.596100572179936,0.201853073985963,0.521287203587451,0.288934258354167,0.191259846049168,0.307933323659987
"fixed",5,6,0.58340661570708,0.117223780571775,0.506796786015049,0.303376118022543,0.172368980313729,0.318889484360709
"fixed",6,2,0.584791143142436,0.146921985545575,0.503641085406467,0.295516615551715,0.166435921409276,0.317383010210451
"fixed",6,3,0.572438775038112,0.190475355184685,0.497163997516804,0.305778732357473,0.195797991034702,0.322218199987715
"fixed",6,4,0.609786188773479,0.165613358832406,0.53304350159789,0.313884900316425,0.183864524748463,0.331701230233945
"fixed",6,5,0.592670348825149,0.118254527868857,0.511575785404973,0.300182123503567,0.170580157220407,0.322028151690631
"fixed",6,6,0.605058361307468,0.129051622962363,0.535792782057124,0.319823467061638,0.175582023537811,0.336453923204493
"unif",2,2,0.579233041847748,0.201267525636953,0.505019475849791,0.281443221137355,0.177352724269494,0.299963658624413
"unif",2,3,0.613017733813797,0.175244593806894,0.53725944025541,0.29437083875952,0.178163345476432,0.317866560065214
"unif",2,4,0.593653010179106,0.17609147104231,0.522570654852613,0.293156687445871,0.152494155319696,0.312616581607202
"unif",2,5,0.608867777668455,0.184968903505128,0.5408657083657,0.272906007030568,0.204063501371296,0.289463420286876
"unif",2,6,0.590441102450281,0.20857946712867,0.51734252899575,0.303177581275072,0.17174159332114,0.321429550876295
"unif",3,2,0.62539946085501,0.138848159989153,0.541195996057071,0.275262578088396,0.165212696938163,0.300444550828157
"unif",3,3,0.624488622917448,0.130949720160516,0.547168048075181,0.30217987884375,0.182397142559605,0.325018628205869
"unif",3,4,0.581606443357257,0.175157551555623,0.500610980112513,0.291619753080741,0.155939815173758,0.3084880658203
"unif",3,5,0.597688650091059,0.165825488283521,0.524424595392635,0.28392689250202,0.170083792959692,0.298867468682343
"unif",3,6,0.587960308206286,0.131139240929757,0.5105466758826,0.273297785872177,0.175510501476249,0.293001369317327
"unif",4,2,0.616179799045263,0.179832710327183,0.536074665425892,0.279781134054147,0.195414931134429,0.302731387477249
"unif",4,3,0.605452499192037,0.157233560351825,0.522683925820817,0.280624081628209,0.171998737301487,0.301580185381425
"unif",4,4,0.630925880653276,0.12588002174577,0.549870443693545,0.288233401377137,0.172332629751934,0.317934333174579
"unif",4,5,0.615695759214679,0.131927158724143,0.537575103835076,0.303529427008818,0.161177601642456,0.319698962514083
"unif",4,6,0.585421275463637,0.165869290368492,0.505408658791177,0.273113731274552,0.170735485226808,0.293552274084881
"unif",5,2,0.587863774494887,0.191738924095965,0.50842756164477,0.289486973979343,0.181365640535268,0.307717800615303
"unif",5,3,0.595443275504563,0.138565054960551,0.511087244862229,0.28595072469753,0.166962647595511,0.306651245786156
"unif",5,4,0.604962589633861,0.147509210825096,0.525975537636511,0.315985365412495,0.161363375772184,0.338838727567912
"unif",5,5,0.606958711841407,0.124166913562054,0.522733464007288,0.265227326282319,0.173505977000145,0.291186325725583
"unif",5,6,0.601685476337865,0.199279135322785,0.531513128425317,0.300460345347614,0.155058079844212,0.314907009956592
"unif",6,2,0.603529815608776,0.156161022750576,0.531971438861689,0.293460343762873,0.167090584672183,0.315763218022076
"unif",6,3,0.600320556756519,0.157326303675886,0.528570177197531,0.326975519644896,0.154233662880238,0.346784827537196
"unif",6,4,0.596680987146482,0.160684683963997,0.512507098476416,0.311000078869176,0.164298794227969,0.329118501335827
"unif",6,5,0.613078181931767,0.122293784170803,0.530051739902155,0.287535183601673,0.17393181085368,0.307976689311217
"unif",6,6,0.621172452727359,0.147653550197541,0.544630699275377,0.290231728626479,0.14954797083824,0.310328729935998
